t, ir, imu 
246.79,-0.17058,-16290
246.84,-0.49268,-17268
246.89,-0.70241,-17762
246.94,-0.90972,-18420
246.99,-1.04059,-18662
247.04,-0.89802,-18452
247.09,-1.05915,-19926
247.14,-1.63703,-17648
247.19,-1.7964,-17274
247.24,-1.17885,-18182
247.29,-0.22295,-17668
247.34,0.49909,-16948
247.39,0.45622,-17232
247.44,-0.29491,-17214
247.49,-0.47951,-15752
247.54,0.65014,-14370
247.59,-0.02474,-13956
247.64,-4.21108,-13948
247.69,-6.56961,-14224
247.74,-4.17876,-15268
247.79,0.58968,-15608
247.84,5.66843,-16392
247.89,8.37546,-17568
247.94,7.5473,-18194
247.99,5.29536,-18778
248.04,3.81507,-18880
248.09,2.94917,-18714
248.14,1.55442,-18902
248.19,-0.06812,-17040
248.24,-1.05331,-18178
248.29,-2.29993,-18682
248.34,-4.76555,-18426
248.39,-5.23479,-17258
248.44,-1.77481,-16302
248.49,1.22747,-15450
248.54,1.0558,-14460
248.59,0.25517,-13748
248.64,0.71196,-13308
248.69,1.2489,-13708
248.74,0.9835,-15244
248.79,0.68669,-15848
248.84,0.4934,-16870
248.89,-0.24939,-17766
248.94,-1.07164,-18934
248.99,-0.96907,-18672
249.04,-0.30952,-18798
249.09,-0.39297,-19706
249.14,-1.39182,-18864
249.19,-2.59596,-17798
249.24,-3.80774,-17856
249.29,-3.51209,-17718
249.34,-0.78549,-18430
249.39,1.49538,-17616
249.44,1.73829,-16090
249.49,1.69004,-15758
249.54,1.67726,-14666
249.59,1.22828,-13834
249.64,1.43617,-13600
249.69,2.03026,-14526
249.74,1.47186,-15842
249.79,0.29362,-16258
249.84,-0.1641,-16884
249.89,-0.18087,-17330
249.94,-0.48232,-17814
249.99,-0.71612,-17748
250.04,-0.73962,-17948
250.09,-1.08572,-18172
250.14,-1.21684,-19012
250.19,-0.30014,-18358
250.24,0.97108,-18204
250.29,1.12496,-18070
250.34,-0.10217,-18280
250.39,-0.97714,-18004
250.44,-0.55583,-17014
250.49,-0.05172,-15818
250.54,0.07558,-15478
250.59,0.4326,-14818
250.64,0.94305,-14290
250.69,1.13551,-14246
250.74,0.87776,-13618
250.79,0.26689,-14486
250.84,-0.4479,-14970
250.89,-0.62598,-15272
250.94,-0.29187,-17620
250.99,-0.27566,-19300
